N Drinks Volume Price
1 Champagne 1.3 40.5
2 Vodka 0.44 7.2
3 Brandy 1.99 33.9
4 Tonic 1.36 48.0
5 Soda 0.52 25.0
6 Gin 1.7 41.6
7 Water 1.14 12.3
8 Beer 0.89 1.9
9 Champagne 1.5 27.1
10 Milk 1.05 3.9
11 Tea 1.38 35.4
12 Gin 1.15 32.4
13 Rum 1.51 34.7
14 Beer 0.71 33.8
15 Beer 0.44 24.4
16 Fanta 2.0 48.8
17 Fanta 1.16 31.9
18 Coffee 1.56 22.0
19 Milk 0.57 3.1
20 Sprite 0.6 35.8
21 Water 0.95 11.0
22 Whiskey 1.31 38.7
23 Champagne 0.37 39.5
24 Juice 1.79 43.6
25 Whiskey 1.68 19.4
26 Milk 0.68 44.2
27 Brandy 1.35 45.8
28 Coffee 0.3 41.5
29 Beer 0.92 49.9
30 Coffee 1.72 31.5
31 Lemonade 1.72 24.5
32 Lemonade 0.51 26.9
33 Water 0.69 14.7
34 Cider 1.97 5.0
35 Champagne 1.36 4.9
36 Wine 1.06 49.7
37 Milk 0.28 36.3
38 Juice 0.27 31.0
39 Coffee 0.71 33.3
40 Coffee 1.0 21.2
41 Lemonade 0.71 36.6
42 Beer 0.53 20.5
43 Tea 0.37 25.3
44 Brandy 0.89 46.4
45 Coffee 1.99 0.9
46 Lemonade 1.44 35.8
47 Brandy 1.76 49.7
48 Tonic 0.45 18.1
49 Soda 0.93 22.9
50 Lemonade 1.85 49.2
51 Juice 0.21 39.6
52 Lemonade 0.43 37.4
53 Tea 1.43 32.1
54 Cider 0.93 3.0
55 Tea 1.02 12.7
56 Gin 0.98 7.6
57 Tea 0.44 15.6
58 Champagne 0.62 26.3
59 Sprite 1.51 16.1
60 Beer 1.9 17.5
61 Beer 1.03 3.4
62 Cola 1.18 27.1
63 Sprite 0.29 40.0
64 Champagne 0.78 6.3
65 Fanta 0.97 10.5
66 Cider 1.37 40.1
67 Wine 1.4 10.2
68 Whiskey 0.95 4.5
69 Fanta 1.86 47.1
70 Water 1.4 36.6
71 Fanta 1.59 13.1
72 Beer 1.06 44.6
73 Wine 0.74 4.1
74 Whiskey 0.98 49.0
75 Brandy 1.72 2.8
76 Cider 1.6 38.0
77 Coffee 0.7 37.8
78 Tea 0.88 3.1
79 Cola 0.56 47.3
80 Beer 1.0 20.8
81 Coffee 1.7 23.8
82 Cider 0.25 38.5
83 Tea 1.52 38.6
84 Rum 1.15 6.7
85 Lemonade 1.59 17.3
86 Tonic 0.82 12.2
87 Whiskey 0.55 21.0
88 Whiskey 1.76 7.6
89 Tonic 1.51 9.3
90 Gin 0.62 13.6
91 Juice 1.0 25.2
92 Brandy 1.44 19.8
93 Cider 0.67 4.1
94 Water 1.2 32.4
95 Soda 1.39 8.7
96 Brandy 0.27 37.7
97 Soda 1.63 49.5
98 Cola 0.88 47.3
99 Tea 0.94 35.1
100 Beer 0.44 17.2
101 Juice 1.95 48.6
102 Cola 1.74 25.9
103 Juice 0.47 36.2
104 Milk 1.38 28.4
105 Tonic 1.3 43.2
106 Cola 1.94 8.6
107 Rum 1.44 36.7
108 Cola 1.88 22.8
109 Rum 0.66 42.0
110 Rum 0.36 5.6
111 Tea 0.53 11.9
112 Tea 0.24 49.0
113 Milk 0.85 18.4
114 Milk 1.48 44.0
115 Champagne 1.87 43.0
116 Gin 1.37 18.9
117 Water 0.76 37.0
118 Beer 1.53 42.1
119 Wine 0.22 47.0
120 Rum 0.43 16.5
121 Brandy 1.09 24.5
122 Juice 1.56 42.7
123 Fanta 0.57 14.6
124 Sprite 0.21 30.3
125 Sprite 0.22 44.6
126 Milk 1.91 45.1
127 Cider 0.86 34.4
128 Juice 0.65 18.5
129 Gin 1.69 4.2
130 Milk 1.55 12.9
131 Soda 0.51 47.2
132 Juice 0.79 6.9
133 Lemonade 0.32 15.0
134 Tea 1.5 32.7
